Gene,Fold Change
Mme,-2.4092
Wnk4,2.4071
Fosl2,2.4008
Dab2ip,2.3993
Rragd,2.3991
Shisa9,-2.3954
Rasgrp1,2.3909
Krt12,2.3895
Cotl1,-2.3894
Lingo1,2.3889
Cblb,-2.3872
Sstr4,-2.3828
BB184086,-2.3732
Nfic,2.3726
Pnma2,-2.3715
Fras1,2.3711
Lcorl,-2.3693
Kctd1,2.3685
Stard13,-2.3657
Rfx3,-2.3654
Abcb10,-2.3653
Zfp536,2.364
Pgam2,-2.3628
Vav3,-2.3614
Pkp2,-2.3613
Dazl,-2.3611
Rflnb,-2.3607
Hecw2,2.3577
Homer2,-2.3555
1445819_at,-2.3544
Lpar4,-2.3541
Glis3,-2.3525
Acvr2a,-2.3523
Rnase2b,-2.3509
Slc39a6,-2.3507
Arpp21,2.3496
Ccdc184,2.3495
Pnma2,-2.3482
Kcnv1,2.3442
Parp8,2.3439
Gpr12,-2.3409
6-Sep,2.3382
Kntc1,-2.3323
Rap1gap2,-2.3283
Rflnb,-2.327
BG862223,2.3262
Zfhx4,-2.3259
Spag5,2.3247
Clec1a,-2.3234
Etv1,-2.323
Mgat5b,-2.322
Homer2,-2.32
Mfsd4a,2.3194
Rhou,-2.3156
Rhou,-2.3134
Sstr3,2.3121
Rab27b,-2.3109
Tmem74,-2.3108
Ptchd4,2.3084
Bambi,-2.3075
Popdc3,-2.3071
Cd83,-2.307
Gm13889,-2.3029
Btg1,-2.3024
Frzb,-2.3021
Scn9a,-2.3018
Ltbp3,2.2994
Ctxn3,2.2991
Tmsb10,2.2923
Rgs10,2.2913
Ly6h,-2.2912
Cdh11,-2.2897
Pnck,-2.2891
Stard8,2.2887
Mapk6,2.2885
9630005C17Rik,-2.2874
4930429B21Rik,2.2872
C630043F03Rik,-2.2866
Smim3,-2.2864
Lrrtm3,2.2807
Zfp811,-2.2806
Ccdc71l,-2.2806
Ccdc184,2.2791
Btg1,-2.2778
Gm4988,-2.2771
Il1rap,-2.2739
Tenm2,2.2719
Rab27a,-2.2717
6-Sep,2.264
Arpp21,2.2609
Bdnf,2.2563
Iyd,-2.2548
AW489900,2.2514
Tmsb10,2.2477
Tesc,2.2421
Slc4a7,-2.2417
Itga8,-2.2367
Pnliprp2,2.2278
Gm3579,2.2162
Pde10a,-2.2148
Slit1,-2.214
Trib2,-2.214
Gpm6b,2.2138
Rreb1,-2.2105
Daglb,2.2081
Ccni,2.2075
Slc29a4,-2.2053
Cobl,2.2052
Vav3,-2.2043
Apol8,-2.2027
Sema5b,2.2017
Fam19a1,2.201
BI076661,-2.1998
Ahcyl2,-2.1983
Bdnf,2.1972
Fbln2,2.1953
Gm715,2.1925
Trp63,-2.1917
Skil,-2.1908
Pip5k1b,-2.1904
Grip1,-2.1891
Ldlr,2.1882
Wnt7b,-2.1878
Spata13,2.1869
Lhx9,-2.1859
Nfatc2,2.1828
Fam107b,-2.1817
Dubr,-2.181
Prag1,2.1798
Lingo1,2.1751
Pnliprp2,2.175
A2ml1,-2.1744
Zfp811,-2.1723
Lpl,2.1721
Tekt5,2.1717
Mageb16,-2.1697
Elk3,-2.1683
Dhx33,-2.1623
Rph3al,-2.1602
Lurap1l,-2.1559
Plac9a,2.1545
Igsf1,-2.1545
E2f1,2.1518
Doc2b,-2.1516
Frmd4b,-2.1514
Ptpn14,2.1478
Camkk2,2.1448
Tpd52l1,-2.1437
Hectd2,-2.139
Cyth4,-2.1376
Fam212b,2.137
Gabrd,2.1348
Shmt1,-2.1336
Ltbp3,2.1332
Acvr2a,-2.1317
Kctd12,-2.1313
Slc4a7,-2.1306
Ralgapa2,-2.1292
BB426260,-2.1268
Lmln,-2.1267
Slc26a4,-2.1256
Dleu2,2.125
Stard4,2.1243
Stc1,-2.1238
Syndig1,2.1234
Pdzd3,-2.1231
St5,-2.122
AI315686,-2.1212
Etv1,-2.1211
Crym,-2.1199
Gm20754,-2.1174
Aldh3b1,2.1131
Apaf1,-2.1093
Cblb,-2.1092
Akap2,-2.1091
C430045I18Rik,-2.1084
Kctd1,2.1069
Oprl1,-2.1035
Rabgap1l,2.0984
1449625_at,2.0976
Gpr153,2.0967
Gfra1,-2.094
Efna3,-2.0905
Lrrc3b,2.0903
Asphd1,2.09
Srl,-2.0899
Kif21b,2.0884
Cit,2.0874
Foxq1,-2.0873
Dhcr24,2.0847
Ippk,-2.0842
Gcnt2,-2.0819
Hspa1a,-2.0809
Rtl8c,2.0801
Scn3b,-2.078
Trpm3,-2.074
Camk1d,2.0734
Palm2,-2.0688
Pdyn,2.0659
Lamp5,-2.0657
Slc27a2,-2.0585
Wfs1,-2.0583
A830018L16Rik,-2.057
Acvr1c,2.0568
